file_id,name,md5,size,kept_id,reason
1OBQHhbMwUd0LqWuPXa3-YIKD5RZKxbJ3,2567_1787454316064_2664.jpg,b5ce8bf3896f8ce2c25b159a0a895534,18035523,1KXuTOaBNQIXUHCNKYrixWBER3AafD57B,exact-md5-duplicate
1eLuCaq8a0oPu5OcunC3pSnzwRJWnswZC,1200_1787450972102_1220.jpg,b5ce8bf3896f8ce2c25b159a0a895534,18035523,1KXuTOaBNQIXUHCNKYrixWBER3AafD57B,exact-md5-duplicate
1zdpzqjipcOC1gp8XtqKuVs0qryU2tKO-,1542_1787416952988_1565.png,cd5c67b6e8cf91b36e303e661beec608,33553699,1UTyj1Qq36S2IGPtpUbDEifvscOpX3Vv6,exact-md5-duplicate
1i8hjDnyqPQz8KLafAHIcc0y4fCV1R3Az,1877_1787515051457_1910.jpg,14585c10b1b2a655c0e08cf6c4fb9336,29649056,1eMzeA35gGcukVtKTAbl3G7BisthBLyik,exact-md5-duplicate
1QsxyzxmfRtj_IQZqAPD7mH1dB7dOWuNZ,3054_1787455385813_3187.jpg,90ba92363c1d5a62025fa014ee8feb51,27477032,1PxJuorbkDrMgvm4TNkMHEZXlvETV5WG-,exact-md5-duplicate
1dkx0sjoM9WKSXvL9Fu9Q02yagiRmOiDn,4498_1787521358188_4602.jpg,8393b9edaf6199619be55ca0a7a33e34,27424306,1Pt7uwxhffIpFs8Ec2l1HVdruaZT6qvfX,exact-md5-duplicate
1WW8J0kZxbh_1OnUF6nf2FGexqR_yDxeE,749_1787499567214_782.jpg,a48d2e43718d09a22c24917a7e9a7cb9,27332861,1SkQaFTnWxuGcCRCBnYfjWBOJ4nD8Dgud,exact-md5-duplicate
1HfXslQu6XzvLgOGfBt7BoKu6N1k3fzTi,2566_1787516556004_2608.jpg,b980b11c67993b53a7ea94eff4609aa2,13555110,12_vDKKsuasnZvGlAowasILmZ-T7ibICC,exact-md5-duplicate
1zwkyDKdcHIp54i9hPWpNzx42_msIlWtx,271_1787448816734_279.jpg,b980b11c67993b53a7ea94eff4609aa2,13555110,12_vDKKsuasnZvGlAowasILmZ-T7ibICC,exact-md5-duplicate
1WW3EfmFjJm9kkVWNEtwBYXG2UVPZJdg4,1024_1787513003936_1040.jpg,10582c81fd5729f769e53c6c00a8b0cd,13279636,1WEAfksiVBdbCApKAIP2Iof-Jm0hsWZc1,exact-md5-duplicate
1WuDc5Gv8vM7JATNq_JzVKq8JwYjMpM-9,1114_1787513202179_1131.jpg,10582c81fd5729f769e53c6c00a8b0cd,13279636,1WEAfksiVBdbCApKAIP2Iof-Jm0hsWZc1,exact-md5-duplicate
1fEIcJ1mE_ezxsbpiD-C_fkhN7lFuCMXc,361_1787449029399_369.jpg,8a5c5083cfaa8861b900d63e81bdd873,24408774,1_JsxjfvF_C6BH3wCyxm-BucjknK96SS2,exact-md5-duplicate
1zUTdziaZ3-JBTrwktoShBFLhGXo03NSD,980_1787512909257_995.jpg,157fa9c2ba6e88ce61b62bd7d5e8d61e,21642173,1ifTvxKkhbtyqqJnkwmWDrFrKXvnN-NT7,exact-md5-duplicate
1xLkQIjZmFq0pZ5ZFeZCxwLXxVgj2COUA,5458_1787523819002_5628.jpg,d31c144c06c205f3d020685ab03aabc2,21360323,1bYz9N-C2lPiYnKXQADoZFe53av0GJJjQ,exact-md5-duplicate
1sGIAZQ8lLP9g_K_8uRBan5oXIsc_CaUn,2084_1787515539889_2121.jpg,055c69b9f454a2fee079b0d6b4b3662b,19823694,1QOMXgyAMtbv85pI1rNC7OiyifqZY1-wO,exact-md5-duplicate
1tAkKyq0TFeGEat83gdCXetnrk2i8ZKTv,834_1787499776313_867.jpg,b6238ca99f62617d0a6a18051e115f15,19127691,1Lqr0bUeMr5qW8HWS6gT5v8nBWp5-7AW2,exact-md5-duplicate
1mckBMU93pAdS8jPVLKe9w-8mrMhOrfQs,386_1787414736433_389.jpg,e411bb883de7f369db599ecf822cb51a,18871458,1CuUnkBUIC-sZ_HdTvt3mwN30QqpFq6hR,exact-md5-duplicate
1zKTcU68PpT5A3lYY72zEhIVEitazm5Zn,2105_1787515578911_2142.jpg,48d98af3e5a69b13515979bc31448889,18636529,1xMFBX_-QKYKU2H0NJ5M-AUKaszoDmvzb,exact-md5-duplicate
